Date Time O3_ref O3_p1 O3_gen
04/30/26 "04:11:00 PM" 186.067 181.34 180
04/30/26 "04:12:00 PM" 186.553 181.713 180
04/30/26 "04:13:00 PM" 186.523 182.605 180
04/30/26 "04:14:00 PM" 186.86 183.018 180
04/30/26 "04:15:00 PM" 185.35 182.55 180
04/30/26 "04:16:00 PM" 179.233 182.163 180
04/30/26 "04:17:00 PM" 179.74 182.612 180
04/30/26 "04:18:00 PM" 179.647 182.568 180
04/30/26 "04:19:00 PM" 180.197 182.06 180
04/30/26 "04:20:00 PM" 179.933 182.775 180
04/30/26 "04:21:00 PM" 179.627 182.74 180
04/30/26 "04:22:00 PM" 180.04 182.177 180
04/30/26 "04:23:00 PM" 180.8 182.175 180
04/30/26 "04:24:00 PM" 179.463 182.325 180
04/30/26 "04:25:00 PM" 179.88 181.908 180
04/30/26 "04:26:00 PM" 180.09 181.648 180
04/30/26 "04:27:00 PM" 180.447 182.058 180
04/30/26 "04:28:00 PM" 180.633 182.78 180
04/30/26 "04:29:00 PM" 181.07 183.152 180
04/30/26 "04:30:00 PM" 180.67 183.463 180
04/30/26 "04:31:00 PM" 179.81 183.127 180
04/30/26 "04:32:00 PM" 180.347 182.737 180
04/30/26 "04:33:00 PM" 180.357 182.615 180
04/30/26 "04:34:00 PM" 180.373 182.47 180
04/30/26 "04:35:00 PM" 180.413 182.317 180
04/30/26 "04:36:00 PM" 179.87 182.37 180
04/30/26 "04:37:00 PM" 180.78 182.312 180
04/30/26 "04:38:00 PM" 181.74 183.798 180
04/30/26 "04:39:00 PM" 181.397 183.56 180
04/30/26 "04:40:00 PM" 179.477 182.128 180
04/30/26 "04:41:00 PM" 180.36 182.13 180
04/30/26 "04:42:00 PM" 180.913 182.333 180
04/30/26 "04:43:00 PM" 180.953 182.483 180
04/30/26 "04:44:00 PM" 181.24 182.905 180
04/30/26 "04:45:00 PM" 181.083 183.247 180
04/30/26 "04:46:00 PM" 180.783 182.758 180
04/30/26 "04:47:00 PM" 180.457 182.393 180
04/30/26 "04:48:00 PM" 180.983 182.542 180
04/30/26 "04:49:00 PM" 180.877 182.915 180
04/30/26 "04:50:00 PM" 181.19 182.8 180
04/30/26 "04:51:00 PM" 181.08 182.83 180
04/30/26 "04:52:00 PM" 180.87 183.13 180
04/30/26 "04:53:00 PM" 180.607 182.767 180
04/30/26 "04:54:00 PM" 180.56 181.658 180
04/30/26 "04:55:00 PM" 173.99 143.328 180
04/30/26 "04:56:00 PM" 176.043 175.725 180
04/30/26 "04:57:00 PM" 177.103 176.263 180
04/30/26 "04:58:00 PM" 178.647 177.91 180
04/30/26 "04:59:00 PM" 156.953 162.968 180
04/30/26 "05:00:00 PM" 153.427 154.477 180
04/30/26 "05:01:00 PM" 176.533 178.325 180
04/30/26 "05:02:00 PM" 179.37 178.928 180
04/30/26 "05:03:00 PM" 179.24 179.532 180
04/30/26 "05:04:00 PM" 179.907 179.39 180
04/30/26 "05:05:00 PM" 179.217 180.167 180
04/30/26 "05:06:00 PM" 179.513 179.937 180
04/30/26 "05:07:00 PM" 179.227 180.038 180
04/30/26 "05:08:00 PM" 179.903 180.142 180
04/30/26 "05:09:00 PM" 180.017 180.88 180
04/30/26 "05:10:00 PM" 180.53 181.5 180
04/30/26 "05:11:00 PM" 180.77 181.092 180
04/30/26 "05:12:00 PM" 180.33 181.657 180
04/30/26 "05:13:00 PM" 179.89 181.458 180
04/30/26 "05:14:00 PM" 180.027 180.96 180
04/30/26 "05:15:00 PM" 180.19 181.658 180
04/30/26 "05:16:00 PM" 179.95 181.335 180
04/30/26 "05:17:00 PM" 179.967 181.083 180
04/30/26 "05:18:00 PM" 180.303 181.17 180
04/30/26 "05:19:00 PM" 180.313 181.337 180
04/30/26 "05:20:00 PM" 179.803 181.077 180
04/30/26 "05:21:00 PM" 180.36 180.822 180
04/30/26 "05:22:00 PM" 180.21 181.493 180
04/30/26 "05:23:00 PM" 179.793 181.677 180
04/30/26 "05:24:00 PM" 179.67 182.053 180
04/30/26 "05:25:00 PM" 179.973 182.05 180
04/30/26 "05:26:00 PM" 180.96 181.648 180
04/30/26 "05:27:00 PM" 180.863 182.103 180
04/30/26 "05:28:00 PM" 181.137 182.978 180
04/30/26 "05:29:00 PM" 180.663 182.778 180
04/30/26 "05:30:00 PM" 180.187 182.537 180
04/30/26 "05:31:00 PM" 180.637 182.133 180
04/30/26 "05:32:00 PM" 180.45 181.848 180
04/30/26 "05:33:00 PM" 181.207 182.235 180
04/30/26 "05:34:00 PM" 181.717 182.978 180
04/30/26 "05:35:00 PM" 180.993 183.147 180
04/30/26 "05:36:00 PM" 180.807 182.762 180
04/30/26 "05:37:00 PM" 180.543 182.223 180
